floe_id,area_px,centroid_x,centroid_y,avg_temp,min_temp,max_temp,std_temp
58,21,476.24725274725273,125.62843406593407,-22.335920333862305,-23.08107566833496,-21.12233543395996,0.4157080352306366
59,1,3.111111111111111,115.64102564102564,-22.50302505493164,-23.08107566833496,-21.5811824798584,0.3714512884616852
60,3,325.55731225296444,115.97233201581028,-21.901782989501953,-22.618154525756836,-21.12233543395996,0.2716199457645416
61,1,91.37692307692308,119.03076923076924,-22.14875602722168,-22.618154525756836,-21.351598739624023,0.28869879245758057
62,43,616.1151249155976,151.29743416610398,-21.77853012084961,-22.38716697692871,-20.77899742126465,0.257264107465744
63,8,52.087188612099645,126.00711743772241,-22.251371383666992,-22.96523094177246,-21.351598739624023,0.3245048224925995
64,1,106.73333333333333,120.95555555555555,-21.914817810058594,-22.38716697692871,-21.236928939819336,0.2606973648071289
65,0,25.40625,125.640625,-21.91008758544922,-22.27179527282715,-21.351598739624023,0.22078798711299896
66,4,262.61392405063293,133.3132911392405,-21.973352432250977,-22.618154525756836,-21.236928939819336,0.27983471751213074
67,2,183.39267015706807,133.69633507853402,-21.786598205566406,-22.38716697692871,-21.236928939819336,0.2744618058204651
68,5,290.8333333333333,137.078125,-22.33954429626465,-22.96523094177246,-21.236928939819336,0.3961033821105957
69,10,6.620305980528512,154.39221140472878,-22.800024032592773,-23.5452938079834,-21.466360092163086,0.3930601477622986
70,1,118.05405405405405,131.59459459459458,-21.88427734375,-22.27179527282715,-21.5811824798584,0.2178030163049698
71,0,98.26415094339623,133.49056603773585,-21.882844924926758,-22.38716697692871,-21.351598739624023,0.22148452699184418
72,3,318.3267716535433,138.83858267716536,-21.925039291381836,-22.618154525756836,-21.236928939819336,0.3024205267429352
73,0,428.62745098039215,136.09803921568627,-21.592634201049805,-22.0412654876709,-21.007802963256836,0.2546060383319855
74,2,367.91160220994476,141.51933701657458,-21.818344116210938,-22.618154525756836,-21.007802963256836,0.31200769543647766
75,0,520.9024390243902,137.58536585365854,-21.505685806274414,-21.926137924194336,-21.236928939819336,0.21008816361427307
76,8,62.94227504244482,150.66893039049236,-22.061580657958984,-22.618154525756836,-21.351598739624023,0.23849734663963318
77,11,100.24479166666667,152.5234375,-22.483983993530273,-23.08107566833496,-21.351598739624023,0.39464402198791504
78,0,213.875,140.27083333333334,-21.521509170532227,-22.0412654876709,-21.007802963256836,0.21987876296043396
